seed,b_duration,delta_old,delta_recent,delta_net
42,10,0.036876997824841565,-0.00677966044188757,0.04365665826672913
42,25,0.03641572533745159,-0.005116772910841139,0.04153249824829273
42,50,0.037424999067934055,-0.005402967430595662,0.04282796649852972
42,100,0.03802381497492795,-0.006280534671995153,0.0443043496469231
42,200,0.03623415811337106,-0.006332678471293246,0.04256683658466431
43,10,0.0361815040197251,-0.005951678902278279,0.04213318292200338
43,25,0.03634371927745733,-0.006445229545374592,0.04278894882283192
43,50,0.037865384853045726,-0.005763399587633289,0.04362878444067902
43,100,0.03713356643675379,-0.005156949322196741,0.042290515758950535
43,200,0.036904324192764223,-0.00702437690460016,0.04392870109736438
44,10,0.03742616948760098,-0.006384739198702988,0.04381090868630397
44,25,0.0375036065600885,-0.00625229009881329,0.04375589665890179
44,50,0.03720944389642261,-0.006038763914341827,0.04324820781076444
44,100,0.0364368721999377,-0.005791252508244698,0.0422281247081824
44,200,0.03735265938049811,-0.005744729560876588,0.043097388941374694
45,10,0.03467330937355915,-0.0074180767029865535,0.0420913860765457
45,25,0.03690321179763534,-0.006305211013261041,0.04320842281089638
45,50,0.037453196922018386,-0.00669795774258225,0.044151154664600636
45,100,0.035544947478252584,-0.006835090173074293,0.04238003765132688
45,200,0.03630488922384205,-0.007071416984058198,0.04337630620790025
46,10,0.037598186303797174,-0.005867766556899179,0.04346595286069635
46,25,0.03644010846540519,-0.006356360829655694,0.04279646929506089
46,50,0.038546127008424275,-0.007253206209379049,0.04579933321780332
46,100,0.034900103150346286,-0.00648993322946711,0.041390036379813394
46,200,0.035974861759769765,-0.0066096932803822615,0.042584555040152024
47,10,0.0371789735427378,-0.007053180319744473,0.044232153862482276
47,25,0.03695577497998614,-0.006002784068858508,0.042958559048844644
47,50,0.035671101152207174,-0.006783645709815017,0.04245474686202219
47,100,0.038400624596411685,-0.005594387019372221,0.043995011615783904
47,200,0.03784428624661611,-0.006291416935070471,0.04413570318168658
48,10,0.037630381261004375,-0.006107251873554209,0.043737633134558584
48,25,0.03633515788014212,-0.006410991462089999,0.042746149342232115
48,50,0.03704618391927996,-0.0061882723285797085,0.04323445624785967
48,100,0.036805174266280945,-0.006897115651575331,0.043702289917856275
48,200,0.037292271971613625,-0.0051814390729875036,0.042473711044601126
49,10,0.03684288544394883,-0.007644716169768523,0.04448760161371735
49,25,0.03736104732318503,-0.007715184324520929,0.04507623164770596
49,50,0.03621604515139878,-0.006616107297561663,0.042832152448960444
49,100,0.036536255139757154,-0.006122682905640225,0.04265893804539738
49,200,0.038459314418675894,-0.006271403230638762,0.044730717649314654
50,10,0.03519191855513292,-0.0073774946901117855,0.04256941324524471
50,25,0.037895070440286956,-0.005668793108212394,0.04356386354849935
50,50,0.03627635920895102,-0.006340665403925966,0.04261702461287698
50,100,0.036397164081231205,-0.006657820119296431,0.043054984200527634
50,200,0.03723533806198959,-0.00692670238573555,0.044162040447725134
51,10,0.036887669766888814,-0.006025647692956377,0.04291331745984519
51,25,0.036431877044076064,-0.006681976449206178,0.04311385349328224
51,50,0.035871905944586474,-0.007320306264384518,0.043192212208970994
51,100,0.03728141512299769,-0.006041528408725095,0.04332294353172278
51,200,0.03751655126858729,-0.006646966993207731,0.04416351826179502
