seed,delta_old_in_C,delta_recent_in_C
42,-0.017864763938138208,-0.0076651195356009245
43,-0.017508487470019384,-0.007963651940449875
44,-0.017805742283846383,-0.0076397265651777365
45,-0.01712744338311328,-0.008688731256591942
46,-0.018989371466779013,-0.00791446827458451
47,-0.017758865852373098,-0.008347607331441523
48,-0.01839983858258813,-0.008304054608724938
49,-0.018529809423209462,-0.008967105413988286
50,-0.015845074044313227,-0.007374751047027861
51,-0.01883945997926553,-0.009020038121899603
