seed,delta_old_in_extended,delta_recent_in_extended
42,0.03633999905828946,-0.006294637114360764
43,0.03699306404691792,-0.0071186023419470374
44,0.03618628663278941,-0.006510584076492584
45,0.0358290825425572,-0.00771572119534583
46,0.03624070552731951,-0.006570543171186734
47,0.03782941962760248,-0.005983576904119162
48,0.03624489288921136,-0.006627616739952865
49,0.037303502744196165,-0.006090779036281354
50,0.03647057750172194,-0.007393217212287251
51,0.036339165549605014,-0.006740939292837878
