seed,experiment,model,ap,auc
42,exp1_stationary,TGN,0.6525315445444972,0.6851772131139651
43,exp1_stationary,TGN,0.6530341195432543,0.6859131949524508
44,exp1_stationary,TGN,0.6533424462254049,0.6859469354953134
45,exp1_stationary,TGN,0.6530824234775999,0.6860743076539109
46,exp1_stationary,TGN,0.6527794818282338,0.6843817536412315
47,exp1_stationary,TGN,0.6536826705858836,0.6860591430547989
48,exp1_stationary,TGN,0.6520044351888835,0.6845745229476586
49,exp1_stationary,TGN,0.6524586685136149,0.684789357183083
50,exp1_stationary,TGN,0.6536640282430808,0.6855777317927078
51,exp1_stationary,TGN,0.6526884144428482,0.6854360866728073
