claim_id,claim_category,claim_text,metric,model,dataset,experiment,configuration,value,uncertainty,unit,source_artifact,source_row_or_section,status,notes
EV-001,canonical_baseline,Historical Oracle link prediction AP at TB=25,AP,Historical Oracle,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=25,0.78805,0.00076,AP,table_a_baseline_reproduction.csv,Row 2,canonical_frozen,Canonical 10-seed average
EV-002,canonical_baseline,Historical Oracle link prediction AP at TB=50,AP,Historical Oracle,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=50,0.78792,0.00072,AP,table_a_baseline_reproduction.csv,Row 2,canonical_frozen,Canonical 10-seed average
EV-003,canonical_baseline,Historical Oracle link prediction AP at TB=100,AP,Historical Oracle,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=100,0.78757,0.00072,AP,table_a_baseline_reproduction.csv,Row 2,canonical_frozen,Canonical 10-seed average
EV-004,canonical_baseline,Historical Oracle link prediction AP at TB=200,AP,Historical Oracle,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=200,0.78752,0.00106,AP,table_a_baseline_reproduction.csv,Row 2,canonical_frozen,Canonical 10-seed average
EV-005,canonical_baseline,Current-Only link prediction AP at TB=25,AP,Current-Only,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=25,0.76053,0.00111,AP,table_a_baseline_reproduction.csv,Row 3,canonical_frozen,Canonical 10-seed average
EV-006,canonical_baseline,Current-Only link prediction AP at TB=50,AP,Current-Only,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=50,0.76052,0.00083,AP,table_a_baseline_reproduction.csv,Row 3,canonical_frozen,Canonical 10-seed average
EV-007,canonical_baseline,Current-Only link prediction AP at TB=100,AP,Current-Only,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=100,0.76002,0.00089,AP,table_a_baseline_reproduction.csv,Row 3,canonical_frozen,Canonical 10-seed average
EV-008,canonical_baseline,Current-Only link prediction AP at TB=200,AP,Current-Only,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=200,0.75994,0.00114,AP,table_a_baseline_reproduction.csv,Row 3,canonical_frozen,Canonical 10-seed average
EV-009,canonical_baseline,EdgeBank Bounded A link prediction AP at TB=25,AP,EdgeBank Bounded A,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=25,0.73922,0.00073,AP,table_a_baseline_reproduction.csv,Row 4,canonical_frozen,Canonical 10-seed average
EV-010,canonical_baseline,EdgeBank Bounded A link prediction AP at TB=50,AP,EdgeBank Bounded A,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=50,0.73919,0.00079,AP,table_a_baseline_reproduction.csv,Row 4,canonical_frozen,Canonical 10-seed average
