condition,model,T_B,seed,AP,AUC,recovery_latency,memory_norm,memory_similarity_to_A,memory_similarity_to_B
unseen_recurrence,TGN,200,42,0.5023998107811127,0.5041414740652295,100,1.0,0.0,1.0
seen_recurrence,TGN,50,42,0.6303249909399449,0.6610746396340861,0,1.0,0.0,1.0
unseen_recurrence,TGN,200,43,0.5075649500648808,0.5071951062469553,100,1.0,0.0,1.0
seen_recurrence,TGN,50,43,0.5301559192550873,0.5350289929801343,50,1.0,0.0,1.0
unseen_recurrence,TGN,200,44,0.505301642258843,0.505377529737533,100,1.0,0.0,1.0
seen_recurrence,TGN,50,44,0.6241688188675871,0.6481742832029794,0,1.0,0.0,1.0
unseen_recurrence,TGN,200,45,0.5037568365551702,0.5039553262093628,100,1.0,0.0,1.0
seen_recurrence,TGN,50,45,0.5331753781069913,0.5315555615647846,50,1.0,0.0,1.0
unseen_recurrence,TGN,200,46,0.504017262188134,0.503493393379503,100,1.0,0.0,1.0
seen_recurrence,TGN,50,46,0.5380531702350788,0.5430294425449786,50,1.0,0.0,1.0
unseen_recurrence,TGN,200,47,0.5018809305935596,0.5025091679615168,100,1.0,0.0,1.0
seen_recurrence,TGN,50,47,0.5311446338311677,0.5267285744718441,50,1.0,0.0,1.0
unseen_recurrence,TGN,200,48,0.5069592265550136,0.5081384882954258,100,1.0,0.0,1.0
seen_recurrence,TGN,50,48,0.5242938092530653,0.5260843545268745,50,1.0,0.0,1.0
unseen_recurrence,TGN,200,49,0.5030352204833993,0.5042616258614547,100,1.0,0.0,1.0
seen_recurrence,TGN,50,49,0.5269195447259994,0.5315604063879721,50,1.0,0.0,1.0
unseen_recurrence,TGN,200,50,0.5038739324704025,0.5037090238884748,100,1.0,0.0,1.0
seen_recurrence,TGN,50,50,0.5406184735195148,0.5484276997258201,50,1.0,0.0,1.0
unseen_recurrence,TGN,200,51,0.5108653773560502,0.5116144148135797,100,1.0,0.0,1.0
seen_recurrence,TGN,50,51,0.63759759104887,0.6686914357575312,0,1.0,0.0,1.0
recurrence,Current-Only,200,42,1.0,0.9999999999999999,0,0.0,1.0,0.0
recurrence,Historical-Oracle,200,42,1.0,1.0,0,0.0,1.0,0.0
reset_alpha_0.0,TGN,200,42,0.5033987695430883,0.5048623395798093,100,0.0,0.0,0.0
reset_alpha_0.25,TGN,200,42,0.5030074127502981,0.5049261942417899,100,0.25,0.0,0.25
reset_alpha_0.5,TGN,200,42,0.5028844181629157,0.5050093052884619,100,0.5,0.0,0.5
reset_alpha_0.75,TGN,200,42,0.5030177613339637,0.5053029591508396,100,0.75,0.0,0.75
reset_alpha_1.0,TGN,200,42,0.5034103885760954,0.5059712754366613,100,1.0,0.0,1.0
shuffle_memory,TGN,200,42,0.5033074607077395,0.5057253443713983,100,1.0,0.0,0.0
recurrence,TGN-NoMemory,200,42,0.5031813462485224,0.5033668767039025,100,0.0,0.0,0.0
recurrence,GRU-Recurrent,200,42,0.5042955847361592,0.5069875807738125,100,1.0,0.0,1.0
recurrence,Current-Only,200,43,0.9999999999999999,1.0,0,0.0,1.0,0.0
recurrence,Historical-Oracle,200,43,1.0,1.0,0,0.0,1.0,0.0
reset_alpha_0.0,TGN,200,43,0.5072826412280502,0.5064087963726722,100,0.0,0.0,0.0
reset_alpha_0.25,TGN,200,43,0.5073456797308483,0.5065202167168139,100,0.25,0.0,0.25
reset_alpha_0.5,TGN,200,43,0.5073800460776835,0.5066818628376295,100,0.5,0.0,0.5
reset_alpha_0.75,TGN,200,43,0.5074827898925107,0.5069534225566574,100,0.75,0.0,0.75
reset_alpha_1.0,TGN,200,43,0.5075649500648808,0.5071951062469553,100,1.0,0.0,1.0
shuffle_memory,TGN,200,43,0.5073820593439091,0.5070468895756599,100,1.0,0.0,0.0
recurrence,TGN-NoMemory,200,43,0.5040260743325997,0.5046245191416079,100,0.0,0.0,0.0
recurrence,GRU-Recurrent,200,43,0.5088715002789169,0.5083614674380572,100,1.0,0.0,1.0
recurrence,Current-Only,200,44,0.9999999999999999,0.9999999999999999,0,0.0,1.0,0.0
recurrence,Historical-Oracle,200,44,1.0,1.0,0,0.0,1.0,0.0
reset_alpha_0.0,TGN,200,44,0.5054155270995189,0.505038682102599,100,0.0,0.0,0.0
reset_alpha_0.25,TGN,200,44,0.5053678933150827,0.5051476028917775,100,0.25,0.0,0.25
reset_alpha_0.5,TGN,200,44,0.5053428931186719,0.505264423329004,100,0.5,0.0,0.5
reset_alpha_0.75,TGN,200,44,0.5053235352088945,0.505340595434594,100,0.75,0.0,0.75
reset_alpha_1.0,TGN,200,44,0.505301642258843,0.505377529737533,100,1.0,0.0,1.0
shuffle_memory,TGN,200,44,0.5052570108178469,0.5053091777434935,100,1.0,0.0,0.0
recurrence,TGN-NoMemory,200,44,0.5030034038167837,0.5046590113722272,100,0.0,0.0,0.0
recurrence,GRU-Recurrent,200,44,0.5062397599089479,0.5070708127914855,100,1.0,0.0,1.0
recurrence,Current-Only,200,45,1.0,1.0,0,0.0,1.0,0.0
recurrence,Historical-Oracle,200,45,1.0,1.0,0,0.0,1.0,0.0
reset_alpha_0.0,TGN,200,45,0.504139004936796,0.5038739499779923,100,0.0,0.0,0.0
reset_alpha_0.25,TGN,200,45,0.5040070774447027,0.5039134084361433,100,0.25,0.0,0.25
reset_alpha_0.5,TGN,200,45,0.5039079429784366,0.5039436130375546,100,0.5,0.0,0.5
reset_alpha_0.75,TGN,200,45,0.5038211850422739,0.5039564776445731,100,0.75,0.0,0.75
reset_alpha_1.0,TGN,200,45,0.5037568365551702,0.5039553262093628,100,1.0,0.0,1.0
shuffle_memory,TGN,200,45,0.5036829516492157,0.5038739576964048,100,1.0,0.0,0.0
recurrence,TGN-NoMemory,200,45,0.50203142085209,0.5030284917426662,100,0.0,0.0,0.0
recurrence,GRU-Recurrent,200,45,0.5041318766366748,0.5036619190277007,100,1.0,0.0,1.0
recurrence,Current-Only,200,46,1.0,1.0,0,0.0,1.0,0.0
recurrence,Historical-Oracle,200,46,1.0,1.0,0,0.0,1.0,0.0
reset_alpha_0.0,TGN,200,46,0.5041505330626574,0.5033491439936191,100,0.0,0.0,0.0
reset_alpha_0.25,TGN,200,46,0.5041076357793435,0.5034105399407933,100,0.25,0.0,0.25
reset_alpha_0.5,TGN,200,46,0.5040714261891006,0.5034467688615283,100,0.5,0.0,0.5
reset_alpha_0.75,TGN,200,46,0.5040346159658733,0.5034742062455938,100,0.75,0.0,0.75
reset_alpha_1.0,TGN,200,46,0.504017262188134,0.503493393379503,100,1.0,0.0,1.0
shuffle_memory,TGN,200,46,0.5039675998243369,0.5034499971059676,100,1.0,0.0,0.0
recurrence,TGN-NoMemory,200,46,0.5036773296107809,0.5043396509082931,100,0.0,0.0,0.0
recurrence,GRU-Recurrent,200,46,0.5044976398935599,0.5059852839870359,100,1.0,0.0,1.0
recurrence,Current-Only,200,47,1.0,1.0,0,0.0,1.0,0.0
recurrence,Historical-Oracle,200,47,1.0,1.0,0,0.0,1.0,0.0
