condition,model,mean_ap,std_ap,mean_auc,std_auc,mean_latency,std_latency
recurrence,Current-Only,1.0,1.227397735431716e-16,1.0,5.233641528945917e-17,0.0,0.0
recurrence,GRU-Recurrent,0.5056935967731755,0.0017709021180668128,0.5062603688827068,0.0017079924070854354,100.0,0.0
recurrence,Historical-Oracle,1.0,0.0,1.0,3.700743415417188e-17,0.0,0.0
recurrence,TGN-NoMemory,0.5051773018522756,0.005072160376263697,0.5065563888071892,0.006310700818624103,100.0,0.0
reset_alpha_0.0,TGN,0.5049583023344695,0.0027069566969355557,0.5050564655008796,0.0027738210477091106,100.0,0.0
reset_alpha_0.25,TGN,0.5049068909694417,0.0027884190433080333,0.5051409182907818,0.002783940168963725,100.0,0.0
reset_alpha_0.5,TGN,0.5049287618493032,0.0027987773951345944,0.5052596294886975,0.0027838089488389423,100.0,0.0
reset_alpha_0.75,TGN,0.5049874289959302,0.0027622465297966804,0.5054313284675966,0.002760803944101852,100.0,0.0
reset_alpha_1.0,TGN,0.5050665767101549,0.002682493171902625,0.5056225351830468,0.0027367205526166245,100.0,0.0
seen_recurrence,TGN,0.5616452329783306,0.047989555603053756,0.5720355390797005,0.06080633891111985,35.0,24.1522945769824
shuffle_memory,TGN,0.5049943850701795,0.0026711248382250224,0.5055393720237727,0.0027367153608030288,100.0,0.0
tb_scaling_10,TGN,0.5990201266272485,0.0677316134752327,0.6197058919581634,0.08195861051869587,30.0,48.3045891539648
tb_scaling_100,TGN,0.5362429979565595,0.03198246255952752,0.5486604632467864,0.041065451085990703,90.1,31.306548835666955
tb_scaling_200,TGN,0.5050665767101549,0.002682493171902625,0.5056225351830468,0.0027367205526166245,100.0,0.0
tb_scaling_25,TGN,0.6248533971125461,0.04932989031964285,0.6508290360278164,0.05996181262654595,20.0,42.16370213557839
tb_scaling_50,TGN,0.6069827758728361,0.049611264227484166,0.6301507403339671,0.059172419427977095,30.0,48.3045891539648
unseen_recurrence,TGN,0.5049655189306567,0.0027694460174608397,0.5054395550459035,0.0027717595577209674,100.0,0.0
