memory_dim,T_B,milestone,cosine_distance_to_A,l2_distance_to_A
16,25,end_initial_A,-1.1920928955078125e-07,0.0
16,25,start_B,9.5367431640625e-07,0.0009309148299507797
16,25,mid_B,4.887580871582031e-06,0.0021469369530677795
16,25,end_B,3.337860107421875e-06,0.0017677955329418182
16,25,recurrence_A,1.6093254089355469e-06,0.00123327667824924
16,25,mid_recurrence_A,1.4901161193847656e-06,0.0012128115631639957
16,100,end_initial_A,0.0,0.0
16,100,start_B,2.980232238769531e-07,0.0008229736122302711
16,100,mid_B,5.960464477539062e-07,0.0012720590457320213
16,100,end_B,5.960464477539062e-07,0.001255007809959352
16,100,recurrence_A,2.980232238769531e-07,0.001021413947455585
16,100,mid_recurrence_A,1.1920928955078125e-07,0.0006756155053153634
16,200,end_initial_A,1.1920928955078125e-07,0.0
16,200,start_B,2.980232238769531e-07,0.0007362893666140735
16,200,mid_B,2.980232238769531e-07,0.0008270851685665548
16,200,end_B,1.7881393432617188e-07,0.0009032494854182005
16,200,recurrence_A,2.980232238769531e-07,0.0008699869504198432
16,200,mid_recurrence_A,1.1920928955078125e-07,0.0005004049162380397
64,25,end_initial_A,0.0,0.0
64,25,start_B,1.9073486328125e-06,0.0014839153736829758
64,25,mid_B,1.0013580322265625e-05,0.0033895066007971764
64,25,end_B,9.47713851928711e-06,0.0032961959950625896
64,25,recurrence_A,5.304813385009766e-06,0.00248539331369102
64,25,mid_recurrence_A,2.384185791015625e-07,0.0005003713886253536
64,100,end_initial_A,0.0,0.0
64,100,start_B,1.1920928955078125e-07,0.00046203116653487086
64,100,mid_B,1.0132789611816406e-06,0.0010552005842328072
64,100,end_B,9.5367431640625e-07,0.0009926431812345982
64,100,recurrence_A,1.0132789611816406e-06,0.0011143253650516272
64,100,mid_recurrence_A,1.9669532775878906e-06,0.001517215627245605
64,200,end_initial_A,0.0,0.0
64,200,start_B,3.159046173095703e-06,0.0018589821411296725
64,200,mid_B,1.8835067749023438e-05,0.004633926786482334
64,200,end_B,1.7881393432617188e-05,0.004520973656326532
64,200,recurrence_A,9.417533874511719e-06,0.0032964434940367937
64,200,mid_recurrence_A,2.384185791015625e-07,0.00031070131808519363
256,25,end_initial_A,0.0,0.0
256,25,start_B,1.1920928955078125e-07,0.00010073406156152487
256,25,mid_B,-1.1920928955078125e-07,0.00010897108586505055
256,25,end_B,0.0,0.00014416157500818372
256,25,recurrence_A,-1.1920928955078125e-07,0.0001289072970394045
256,25,mid_recurrence_A,0.0,0.00012119286111555994
256,100,end_initial_A,1.1920928955078125e-07,0.0
256,100,start_B,2.980232238769531e-07,0.0005737848696298897
256,100,mid_B,8.940696716308594e-07,0.0009603092912584543
256,100,end_B,4.76837158203125e-07,0.0007469105767086148
256,100,recurrence_A,4.172325134277344e-07,0.0006513860425911844
256,100,mid_recurrence_A,7.748603820800781e-07,0.0009179463377222419
256,200,end_initial_A,0.0,0.0
256,200,start_B,2.2649765014648438e-06,0.0017068713204935193
256,200,mid_B,1.3053417205810547e-05,0.003988617565482855
256,200,end_B,1.341104507446289e-05,0.004034185782074928
256,200,recurrence_A,6.794929504394531e-06,0.0028881472535431385
256,200,mid_recurrence_A,1.7881393432617188e-07,0.0003088647499680519
