experiment,seed,retrieval_mode,T_B,AP,AUC,recovery_latency
phase2_4_retrieval,42,oracle,200,0.9418669449579565,0.9601074121491644,0
phase2_4_retrieval,42,similarity,200,0.9369613667362776,0.9575336516627406,0
phase2_4_retrieval,42,random,200,0.9346808166949024,0.956422008987957,0
phase2_4_retrieval,42,recent_b,200,0.9315207169935094,0.9549524411865032,0
phase2_4_retrieval,43,oracle,200,0.9429481202961748,0.960569055693383,0
phase2_4_retrieval,43,similarity,200,0.9366674501500285,0.9574087158592454,0
phase2_4_retrieval,43,random,200,0.9346584892055434,0.9564006249635856,0
phase2_4_retrieval,43,recent_b,200,0.9307662396784705,0.9543535321405285,0
phase2_4_retrieval,44,oracle,200,0.9421866244367958,0.9601719241824733,0
phase2_4_retrieval,44,similarity,200,0.9360958052816046,0.9571575436672723,0
phase2_4_retrieval,44,random,200,0.9351917800422129,0.956745256013877,0
phase2_4_retrieval,44,recent_b,200,0.9321479263993522,0.9553764249232973,0
phase2_4_retrieval,45,oracle,200,0.9420437378802407,0.9600312015457384,0
phase2_4_retrieval,45,similarity,200,0.9355017697589674,0.9569743935890879,0
phase2_4_retrieval,45,random,200,0.9343784207432497,0.9564253294735677,0
phase2_4_retrieval,45,recent_b,200,0.9321727191993615,0.9553533805831812,0
phase2_4_retrieval,46,oracle,200,0.9409439991528838,0.9594584689420775,0
phase2_4_retrieval,46,similarity,200,0.9362047019731303,0.9571913819708274,0
phase2_4_retrieval,46,random,200,0.9349956909234088,0.9566132653510783,0
phase2_4_retrieval,46,recent_b,200,0.9302214669905808,0.9541345998082049,0
