experiment,seed,memory_dim,T_B,model,condition,AP,AUC,precision,recall,recovery_latency,parameter_count,learning_rate,epochs
phase2_2_stationary_control,42,16,0,TGN-Stationary,stationary_dm_16,0.6533753508453035,0.6856843902317942,0.6929547183772049,0.6643333712549605,0,23553,0.005,15
phase2_2_stationary_control,43,16,0,TGN-Stationary,stationary_dm_16,0.6535114425026154,0.6856537007457347,0.6934631277221457,0.6658177967805493,0,23553,0.005,15
phase2_2_stationary_control,44,16,0,TGN-Stationary,stationary_dm_16,0.653506954307614,0.6861916712798268,0.6937093023255814,0.6646161181579375,0,23553,0.005,15
phase2_2_stationary_control,45,16,0,TGN-Stationary,stationary_dm_16,0.6533616309905281,0.6861192375846356,0.6941468473612454,0.665690716027419,0,23553,0.005,15
phase2_2_stationary_control,46,16,0,TGN-Stationary,stationary_dm_16,0.6521206144035261,0.6843946854268875,0.6919838856689604,0.6640980782328824,0,23553,0.005,15
phase2_2_stationary_control,42,32,0,TGN-Stationary,stationary_dm_32,0.6535014419556797,0.6850314146753737,0.6933196420028238,0.6627005106035562,0,30561,0.005,15
phase2_2_stationary_control,43,32,0,TGN-Stationary,stationary_dm_32,0.6535590341595697,0.6860954961022762,0.691922889779652,0.6670933354778468,0,30561,0.005,15
phase2_2_stationary_control,44,32,0,TGN-Stationary,stationary_dm_32,0.6536207103678497,0.6859868165647229,0.6936903188578448,0.664264086287913,0,30561,0.005,15
phase2_2_stationary_control,45,32,0,TGN-Stationary,stationary_dm_32,0.6544054710328461,0.6866020222825687,0.6940120123198501,0.665780116085976,0,30561,0.005,15
phase2_2_stationary_control,46,32,0,TGN-Stationary,stationary_dm_32,0.6508749834647616,0.6840294123235837,0.6919114169394701,0.6642672400361472,0,30561,0.005,15
phase2_2_stationary_control,42,64,0,TGN-Stationary,stationary_dm_64,0.6527330642900686,0.6850945156763664,0.6933058500654049,0.6632626429589576,0,49185,0.005,15
phase2_2_stationary_control,43,64,0,TGN-Stationary,stationary_dm_64,0.653613440839796,0.6860771123777468,0.6932495505824405,0.6659116192416464,0,49185,0.005,15
phase2_2_stationary_control,44,64,0,TGN-Stationary,stationary_dm_64,0.6537410613580819,0.6855825967892624,0.6935858092714,0.66471415234959,0,49185,0.005,15
phase2_2_stationary_control,45,64,0,TGN-Stationary,stationary_dm_64,0.6532620023206607,0.6863988885443694,0.6941468473612454,0.665690716027419,0,49185,0.005,15
phase2_2_stationary_control,46,64,0,TGN-Stationary,stationary_dm_64,0.6523864926450927,0.6842042428327477,0.6916909401424198,0.6643896597621941,0,49185,0.005,15
phase2_2_stationary_control,42,128,0,TGN-Stationary,stationary_dm_128,0.6515935758430966,0.6843846080864062,0.693409014682865,0.6640991494402099,0,104865,0.005,15
phase2_2_stationary_control,43,128,0,TGN-Stationary,stationary_dm_128,0.654156034496773,0.6859164173802252,0.6922265400382112,0.6669190937643805,0,104865,0.005,15
phase2_2_stationary_control,44,128,0,TGN-Stationary,stationary_dm_128,0.6534739271983376,0.685944910927248,0.6922241292650781,0.6658660541015055,0,104865,0.005,15
phase2_2_stationary_control,45,128,0,TGN-Stationary,stationary_dm_128,0.6538266478823898,0.6865076032451373,0.6941468473612454,0.665690716027419,0,104865,0.005,15
phase2_2_stationary_control,46,128,0,TGN-Stationary,stationary_dm_128,0.5020743105149899,0.5019707137662168,0.5037001138869369,0.2313421208438503,100,104865,0.005,15
phase2_2_stationary_control,42,256,0,TGN-Stationary,stationary_dm_256,0.5019619971983394,0.5017391714489583,0.5008019431176726,0.8232807561126317,100,289953,0.005,15
phase2_2_stationary_control,43,256,0,TGN-Stationary,stationary_dm_256,0.6539788984976499,0.6858802962201422,0.6924819166390127,0.6665974167549045,0,289953,0.005,15
phase2_2_stationary_control,44,256,0,TGN-Stationary,stationary_dm_256,0.5009916947491222,0.5020162512780616,0.5008318450226062,0.6935295205459613,100,289953,0.005,15
phase2_2_stationary_control,45,256,0,TGN-Stationary,stationary_dm_256,0.6528037129921018,0.6855772593404591,0.6941468473612454,0.665690716027419,0,289953,0.005,15
phase2_2_stationary_control,46,256,0,TGN-Stationary,stationary_dm_256,0.5018688066406785,0.5018717120920813,0.5029337414080268,0.2648116739450758,100,289953,0.005,15
