memory_dim,T_B,mean_AP,std_AP,mean_AUC,std_AUC,mean_latency,std_latency,mean_HR,std_HR,mean_HG,mean_MH
16,10,0.5624193245622042,0.07979902004530522,0.5753107392598377,0.09634327818008025,60.0,54.772255750516614,-43758067.32510891,7979901.816747158,-0.43758067543779583,-0.43758067543779583
16,25,0.6420814913839571,0.013408595204276293,0.6746047499159582,0.013516793028499665,0.0,0.0,-35791850.861604296,1340859.5204276305,-0.35791850861604296,-0.35791850861604296
16,50,0.587375534286344,0.05913738559887359,0.6152968383363675,0.06699799448058158,40.0,54.772255750516614,-41262446.700745784,5913738.909207571,-0.4126244657136559,-0.4126244657136559
16,100,0.542928919721243,0.03979389461247973,0.5526976822844532,0.04742894057338958,80.0,44.721359549995796,-45707108.040474206,3979389.6565855304,-0.457071080278757,-0.457071080278757
16,200,0.5050349892389145,0.0014521326536489588,0.5053880927298746,0.0013551908424447767,100.0,0.0,-49496500.8564433,145213.3264137595,-0.49496501076108534,-0.49496501076108534
32,10,0.5936028064948264,0.08086597146127637,0.6131436924611583,0.09797305720444592,40.0,54.772255750516614,-40639719.19613482,8086597.286348928,-0.4063971935051735,-0.4063971935051735
32,25,0.6503278214283521,0.0036076951861678456,0.6814090011182945,0.0042872813784038556,0.0,0.0,-34967217.8571648,360769.5186167845,-0.349672178571648,-0.349672178571648
32,50,0.5717694206803341,0.04986527470350151,0.5907412648081285,0.062804130847788,60.0,54.772255750516614,-42823058.01361096,4986527.335781309,-0.42823057931966596,-0.42823057931966596
32,100,0.5242681784037675,0.026872143600580847,0.5375072365033018,0.0391788419048486,100.0,0.0,-47573182.17404197,2687214.691545765,-0.4757318215962325,-0.4757318215962325
32,200,0.5052703200383182,0.0015265330829111504,0.5050427599460214,0.0014448286805416627,100.0,0.0,-49472967.776980534,152653.5165583574,-0.49472967996168177,-0.49472967996168177
64,10,0.5687294531205029,0.07779894783225857,0.5817298543089817,0.09465583027097044,60.0,54.772255750516614,-43127054.46753146,7779894.55279201,-0.431270546879497,-0.431270546879497
64,25,0.6337576443835967,0.02093588297835984,0.6643458989407695,0.019861917773766263,0.0,0.0,-36624235.56164032,2093588.297835986,-0.3662423556164033,-0.3662423556164033
64,50,0.5600102654421402,0.06550344005872959,0.5805883532724634,0.07408582411512177,40.2,54.59120808335349,-43998973.61119199,6550344.5627704635,-0.4399897345578598,-0.4399897345578598
64,100,0.5189107953695911,0.019747449068135244,0.5190338813793607,0.01735438611450026,100.0,0.0,-48108920.47067543,1974745.1400977515,-0.48108920463040894,-0.48108920463040894
64,200,0.5034877880955032,0.0015707042432701454,0.50448395927748,0.0017832048992295246,100.0,0.0,-49651220.96947764,157070.23521386946,-0.4965122119044968,-0.4965122119044968
128,10,0.5343903501514653,0.06350412790817223,0.5392744088332471,0.07789405246272603,80.0,44.721359549995796,-46560964.76821367,6350412.696065588,-0.4656096498485347,-0.4656096498485347
128,25,0.5737599604873244,0.06445473762623576,0.5878520541188579,0.07730618289499254,40.0,54.772255750516614,-42624003.95126757,6445473.7626235755,-0.42624003951267564,-0.42624003951267564
128,50,0.5230069675729558,0.048110403327328265,0.5404748486977257,0.059274728757562865,89.4,23.70232056149777,-47699303.38289801,4811040.7818382215,-0.4769930324270442,-0.4769930324270442
128,100,0.5076107844372003,0.008246575126612006,0.5078862416383294,0.009055925239370072,100.0,0.0,-49238921.563940786,824658.0796418278,-0.4923892155627998,-0.4923892155627998
128,200,0.5014285856135657,0.0010711977146560965,0.5014034113201615,0.0017092445622482288,100.0,0.0,-49857141.217171565,107119.73555260013,-0.49857141438643426,-0.49857141438643426
256,10,0.5027671009331509,0.002044451746197856,0.5023525574385913,0.0010910815573578361,100.0,0.0,-49723289.685440764,204445.0441339076,-0.49723289906684903,-0.49723289906684903
256,25,0.517028086483073,0.03422570244039124,0.5176774861658299,0.03656742560422131,80.4,43.82693235899588,-48297191.35169269,3422570.2440391225,-0.48297191351692703,-0.48297191351692703
256,50,0.5000902041220315,0.0010485277067768402,0.5004608382482092,0.0005852254978131182,100.0,0.0,-49990979.69863036,104852.66949834678,-0.49990979587796847,-0.49990979587796847
256,100,0.5006008960508257,0.0012721661999703629,0.5005805074545246,0.0008963863707307106,100.0,0.0,-49939910.39602117,127217.16184627244,-0.49939910394917425,-0.49939910394917425
256,200,0.5015354281266047,0.0018702617113018944,0.501709081196896,0.0026148575046373267,100.0,0.0,-49846456.96549003,187026.00854067807,-0.4984645718733952,-0.4984645718733952
