density,contrast,seed,current_only_ap,historical_oracle_ap,tgn_ap
0.05,2.0,42,1.0,1.0,0.5148957192897778
0.05,2.0,43,1.0,1.0,0.5187827750195475
0.05,2.0,44,1.0,1.0,0.5136516453727409
0.05,2.0,45,1.0,1.0,0.5110406327387303
0.05,2.0,46,1.0,1.0,0.5168679019236591
0.05,4.0,42,1.0,1.0,0.6146790573557995
0.05,4.0,43,1.0,1.0,0.602645299271218
0.05,4.0,44,1.0000000000000002,1.0,0.6285271344418004
0.05,4.0,45,1.0,1.0,0.6086235702081371
0.05,4.0,46,1.0000000000000002,1.0,0.6284729582556575
0.05,8.0,42,0.9999999999999999,1.0,0.7050192919570326
0.05,8.0,43,1.0000000000000002,1.0,0.7094279355762598
0.05,8.0,44,1.0000000000000002,1.0,0.7203166629646655
0.05,8.0,45,0.9999999999999999,1.0,0.7096686323952672
0.05,8.0,46,0.9999999999999999,1.0,0.7210542724274392
0.1,2.0,42,0.9999999999999999,1.0,0.5285961702472157
0.1,2.0,43,1.0000000000000002,1.0,0.515747989621639
0.1,2.0,44,1.0,1.0,0.5107732464782972
0.1,2.0,45,1.0,1.0,0.5085394427593999
0.1,2.0,46,1.0,1.0,0.5210600309028123
0.1,4.0,42,1.0,1.0,0.6575453460809244
0.1,4.0,43,1.0,1.0,0.6415679567149807
0.1,4.0,44,0.9999999999999999,1.0,0.6579255130074426
0.1,4.0,45,1.0,1.0,0.6387959963494694
0.1,4.0,46,1.0,1.0,0.6531759385523892
0.1,8.0,42,1.0,1.0,0.7386328955403075
0.1,8.0,43,1.0,1.0,0.7338702988678529
0.1,8.0,44,0.9999999999999999,1.0,0.7351071301287756
0.1,8.0,45,1.0,1.0,0.7378756872245475
0.1,8.0,46,1.0,1.0,0.7410195745067469
0.2,2.0,42,0.9999999999999999,1.0,0.5424593162104223
0.2,2.0,43,1.0,1.0,0.5192671913430431
0.2,2.0,44,1.0,1.0,0.5246441786904492
0.2,2.0,45,1.0,1.0,0.5304732951050857
0.2,2.0,46,1.0,1.0,0.5181362005319431
0.2,4.0,42,1.0,1.0,0.6905161037856618
0.2,4.0,43,1.0,1.0,0.6953184670740897
0.2,4.0,44,1.0,1.0,0.6855109510311216
0.2,4.0,45,1.0,0.9999984617928454,0.6962825011159838
0.2,4.0,46,1.0,1.0,0.6901674646565908
0.2,8.0,42,1.0,0.9999454252383755,0.7844752988763688
0.2,8.0,43,1.0,0.9999289805149361,0.7871324490257434
0.2,8.0,44,1.0,0.999949149703827,0.7850856802739867
0.2,8.0,45,1.0,0.9999467976027963,0.7881321273915645
0.2,8.0,46,1.0,0.9999535360228022,0.7855890047623997
