distractor_type,seed,current_only_ap,historical_oracle_ap,tgn_ap
D1_orthogonal_partition,42,1.0,1.0,0.6575453460809244
D1_orthogonal_partition,43,1.0,1.0,0.6415679567149807
D1_orthogonal_partition,44,0.9999999999999999,1.0,0.6579255130074426
D1_orthogonal_partition,45,1.0,1.0,0.6387959963494694
D1_orthogonal_partition,46,1.0,1.0,0.6531759385523892
D2_persistence_disruption,42,1.0,1.0,0.660131929009907
D2_persistence_disruption,43,1.0,1.0,0.641352275225361
D2_persistence_disruption,44,1.0,1.0,0.6558198175210609
D2_persistence_disruption,45,1.0,1.0,0.6409154097528122
D2_persistence_disruption,46,0.9999999999999999,1.0,0.6557294334665167
D3_core_periphery,42,0.9999999999999999,1.0,0.6572369895794465
D3_core_periphery,43,1.0,1.0,0.6449619021284927
D3_core_periphery,44,0.9999999999999998,1.0,0.6560385748186304
D3_core_periphery,45,1.0,1.0,0.6440853482934645
D3_core_periphery,46,0.9999999999999999,1.0,0.6543396255405136
