mechanism,capacity_units,storage_floats,seed,ap
Continuous_TGN_d256,256,309153,42,0.6480545547722201
FIFO_Queue_W1000,1000,3000,42,0.505
Snapshot_Store_K1,1,1000,42,0.9433807502673436
Snapshot_Store_K2,2,2000,42,0.9413476179698868
Snapshot_Store_K4,4,4000,42,0.9413600150738284
Snapshot_Store_K8,8,8000,42,0.9445132337153103
Continuous_TGN_d256,256,309153,43,0.6363830808959448
FIFO_Queue_W1000,1000,3000,43,0.505
Snapshot_Store_K1,1,1000,43,0.9351800418080294
Snapshot_Store_K2,2,2000,43,0.9399737715866956
Snapshot_Store_K4,4,4000,43,0.9407759636081
Snapshot_Store_K8,8,8000,43,0.9415772519075559
Continuous_TGN_d256,256,309153,44,0.6539310199285125
FIFO_Queue_W1000,1000,3000,44,0.505
Snapshot_Store_K1,1,1000,44,0.9442991905026409
Snapshot_Store_K2,2,2000,44,0.9431773876845921
Snapshot_Store_K4,4,4000,44,0.9437636770678335
Snapshot_Store_K8,8,8000,44,0.943638239441709
Continuous_TGN_d256,256,309153,45,0.640256843598301
FIFO_Queue_W1000,1000,3000,45,0.505
Snapshot_Store_K1,1,1000,45,0.9361571731602951
Snapshot_Store_K2,2,2000,45,0.9399846723207945
Snapshot_Store_K4,4,4000,45,0.9404006114821496
Snapshot_Store_K8,8,8000,45,0.9398522571557014
Continuous_TGN_d256,256,309153,46,0.6557180968621776
FIFO_Queue_W1000,1000,3000,46,0.505
Snapshot_Store_K1,1,1000,46,0.9429795795341849
Snapshot_Store_K2,2,2000,46,0.9444826920622389
Snapshot_Store_K4,4,4000,46,0.9415677747111204
Snapshot_Store_K8,8,8000,46,0.9428294176919815
