schedule,seed,current_only_ap,historical_oracle_ap,tgn_ap,retrieval_ap
A->B->A,42,1.0,1.0,0.6575453460809244,0.9405249985314753
A->B->A,43,1.0,1.0,0.6415679567149807,0.9471979179970302
A->B->A,44,0.9999999999999999,1.0,0.6579255130074426,0.9401279897451886
A->B->A,45,1.0,1.0,0.6387959963494694,0.9405928558980597
A->B->A,46,1.0,1.0,0.6531759385523892,0.9417180450684988
A->B->A->B->A,42,0.9999999999999999,1.0,0.6615880791819572,0.9413707103440483
A->B->A->B->A,43,1.0,1.0,0.6446387735376335,0.9421864363482461
A->B->A->B->A,44,1.0,1.0,0.6545642103020689,0.9383752444343251
A->B->A->B->A,45,1.0,1.0,0.642318475152126,0.9461271525825801
A->B->A->B->A,46,0.9999999999999999,1.0,0.6585438950582355,0.9419276522332296
A->B->C->A,42,0.9999999999999999,1.0,0.6543452062244601,0.939541300397216
A->B->C->A,43,0.9999999999999999,1.0,0.6434786903466835,0.9471538545484323
A->B->C->A,44,1.0,1.0,0.653849373170341,0.9397532494277341
A->B->C->A,45,0.9999999999999999,1.0,0.6421583996252156,0.9431024996091655
A->B->C->A,46,0.9999999999999999,1.0,0.6538748145617028,0.9423045171201958
A->B->C->B->A,42,1.0,1.0,0.6593486092171488,0.9384047329488252
A->B->C->B->A,43,1.0,1.0,0.6455963129407748,0.9449390277941393
A->B->C->B->A,44,1.0000000000000002,1.0,0.659100365572923,0.9406943311916915
A->B->C->B->A,45,1.0,1.0,0.6430929042899463,0.9413718378524518
A->B->C->B->A,46,1.0,1.0,0.6605940139003587,0.9424120120038446
