episode,model,ap,auc
Episode_1_(W11->W12->W13),Current_Only,0.7124999999999999,0.7125
Episode_1_(W11->W12->W13),Historical_Retrieval_A,0.775,0.775
Episode_1_(W11->W12->W13),Recent_B_Distractor,0.7124999999999999,0.7125
Episode_1_(W11->W12->W13),TGN_Continuous,0.6624999999999999,0.52
Episode_1_(W11->W12->W13),Static_Degree_Baseline,0.7942142857142859,0.7887500000000001
Episode_1_(W11->W12->W13),Null_Control_Shuffled,0.4711664152840624,0.4828125
Episode_2_(W8->W12->W19),Current_Only,0.6111111111111112,0.6111111111111112
Episode_2_(W8->W12->W19),Historical_Retrieval_A,0.7345679012345677,0.7434842249657065
Episode_2_(W8->W12->W19),Recent_B_Distractor,0.6481481481481481,0.6481481481481481
Episode_2_(W8->W12->W19),TGN_Continuous,0.5611111111111111,0.52
Episode_2_(W8->W12->W19),Static_Degree_Baseline,0.6111111111111112,0.6111111111111112
Episode_2_(W8->W12->W19),Null_Control_Shuffled,0.5987654320987654,0.5980795610425239
Episode_3_(W11->W12->W14),Current_Only,0.7647058823529411,0.7647058823529411
Episode_3_(W11->W12->W14),Historical_Retrieval_A,0.8382352941176471,0.8382352941176471
Episode_3_(W11->W12->W14),Recent_B_Distractor,0.8357843137254902,0.8326124567474048
Episode_3_(W11->W12->W14),TGN_Continuous,0.7147058823529411,0.52
Episode_3_(W11->W12->W14),Static_Degree_Baseline,0.8407692024178094,0.842128027681661
Episode_3_(W11->W12->W14),Null_Control_Shuffled,0.485874613003096,0.43858131487889274
