variant,seed,ap
R1_Oracle_A,42,0.9405249985314753
R2_Similarity_Retrieval,42,0.9363231759102655
R3_Random_History,42,0.9364559038052869
R4_Current_Only_No_History,42,1.0
R5_Corrupted_50pct,42,0.890889349536953
R6_Partial_History_Half,42,0.9399808175901943
R7_Recent_B_Distractor,42,0.9255582688421242
R1_Oracle_A,43,0.9471979179970302
R2_Similarity_Retrieval,43,0.9379829821781238
R3_Random_History,43,0.935101819416059
R4_Current_Only_No_History,43,1.0
R5_Corrupted_50pct,43,0.893649030420191
R6_Partial_History_Half,43,0.940940766943827
R7_Recent_B_Distractor,43,0.9278221294718698
R1_Oracle_A,44,0.9401279897451886
R2_Similarity_Retrieval,44,0.9349715207718368
R3_Random_History,44,0.9352297788896655
R4_Current_Only_No_History,44,0.9999999999999999
R5_Corrupted_50pct,44,0.890783812031425
R6_Partial_History_Half,44,0.9427031046775904
R7_Recent_B_Distractor,44,0.9285518771106821
R1_Oracle_A,45,0.9405928558980597
R2_Similarity_Retrieval,45,0.935580448288384
R3_Random_History,45,0.9314008887976699
R4_Current_Only_No_History,45,1.0
R5_Corrupted_50pct,45,0.8885203379137545
R6_Partial_History_Half,45,0.9383966302577487
R7_Recent_B_Distractor,45,0.9284191308183536
R1_Oracle_A,46,0.9417180450684988
R2_Similarity_Retrieval,46,0.9359432417351141
R3_Random_History,46,0.9331833886459212
R4_Current_Only_No_History,46,1.0
R5_Corrupted_50pct,46,0.8935630585202878
R6_Partial_History_Half,46,0.936529123510908
R7_Recent_B_Distractor,46,0.9344796784121996
