dataset,condition,method,memory_type,history_window,T_B,seed_or_episode,AP,AUC,delta_vs_current,delta_vs_tgn
Synthetic_Hard_Benchmark,T_B=25,Current_Only,none,current_graph,25,42,0.764511637797344,0.752476951445367,0.0,0.13295669938141808
Synthetic_Hard_Benchmark,T_B=25,Continuous_TGN,parametric_recurrent,all_events,25,42,0.6315549384159259,0.653839302640503,-0.13295669938141808,0.0
Synthetic_Hard_Benchmark,T_B=25,TGN_NoMemory,parametric_feedforward,current_window,25,42,0.6534203253697819,0.6850120590172857,-0.1110913124275621,0.02186538695385598
Synthetic_Hard_Benchmark,T_B=25,Historical_Retrieval,non_parametric_similarity,snapshot_cache,25,42,0.7461627177004542,0.7541196492659803,-0.01834892009688982,0.11460777928452826
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,25,42,0.7408647645652442,0.7088907628673609,-0.023646873232099797,0.10930982614931828
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,25,42,0.7431399128736262,0.7127151058259157,-0.02137172492371775,0.11158497445770033
Synthetic_Hard_Benchmark,T_B=25,Random_Retrieval,non_parametric_random,snapshot_cache,25,42,0.7405079883169217,0.7493536046036368,-0.02400364948042233,0.10895304990099575
Synthetic_Hard_Benchmark,T_B=25,Historical_Oracle,oracle_summary,exact_regime_A,25,42,0.7912931524051356,0.7882732959614491,0.026781514607791657,0.15973821398920973
Synthetic_Hard_Benchmark,T_B=25,Current_Only,none,current_graph,25,43,0.7641644134449677,0.7519907056399089,0.0,0.1417509717187051
Synthetic_Hard_Benchmark,T_B=25,Continuous_TGN,parametric_recurrent,all_events,25,43,0.6224134417262626,0.6545879393438715,-0.1417509717187051,0.0
Synthetic_Hard_Benchmark,T_B=25,TGN_NoMemory,parametric_feedforward,current_window,25,43,0.6153628886341846,0.640429477659754,-0.14880152481078301,-0.007050553092077916
Synthetic_Hard_Benchmark,T_B=25,Historical_Retrieval,non_parametric_similarity,snapshot_cache,25,43,0.743551795734797,0.75156097714737,-0.020612617710170644,0.12113835400853445
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,25,43,0.7405283049133924,0.7088831596506046,-0.023636108531575273,0.11811486318712983
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,25,43,0.7424578423902968,0.7124698632354141,-0.021706571054670887,0.12004440066403421
