dataset,condition,method,mean_AP,std_AP,mean_delta_vs_current,mean_delta_vs_tgn,n
SNAP_CollegeMsg,Episode_1_(W11->W12->W13),Continuous_TGN,0.6624999999999999,,-0.050000000000000044,0.0,1
SNAP_CollegeMsg,Episode_1_(W11->W12->W13),Current_Only,0.7124999999999999,,0.0,0.050000000000000044,1
SNAP_CollegeMsg,Episode_1_(W11->W12->W13),EdgeBank_AllHistory,0.8564489673527338,,0.14394896735273388,0.19394896735273393,1
SNAP_CollegeMsg,Episode_1_(W11->W12->W13),Historical_Retrieval,0.7124999999999999,,0.0,0.050000000000000044,1
SNAP_CollegeMsg,Episode_1_(W11->W12->W13),Random_Retrieval,0.7124999999999999,,0.0,0.050000000000000044,1
SNAP_CollegeMsg,Episode_1_(W11->W12->W13),TGN_NoMemory,0.7124999999999999,,0.0,0.050000000000000044,1
SNAP_CollegeMsg,Episode_2_(W8->W12->W19),Continuous_TGN,0.5711111111111111,,-0.040000000000000036,0.0,1
SNAP_CollegeMsg,Episode_2_(W8->W12->W19),Current_Only,0.6111111111111112,,0.0,0.040000000000000036,1
SNAP_CollegeMsg,Episode_2_(W8->W12->W19),EdgeBank_AllHistory,0.866224339878163,,0.2551132287670519,0.2951132287670519,1
SNAP_CollegeMsg,Episode_2_(W8->W12->W19),Historical_Retrieval,0.6111111111111112,,0.0,0.040000000000000036,1
SNAP_CollegeMsg,Episode_2_(W8->W12->W19),Random_Retrieval,0.7345679012345677,,0.12345679012345656,0.1634567901234566,1
SNAP_CollegeMsg,Episode_2_(W8->W12->W19),TGN_NoMemory,0.6111111111111112,,0.0,0.040000000000000036,1
SNAP_CollegeMsg,Episode_3_(W11->W12->W14),Continuous_TGN,0.7147058823529411,,-0.050000000000000044,0.0,1
SNAP_CollegeMsg,Episode_3_(W11->W12->W14),Current_Only,0.7647058823529411,,0.0,0.050000000000000044,1
SNAP_CollegeMsg,Episode_3_(W11->W12->W14),EdgeBank_AllHistory,0.9261325081644106,,0.1614266258114695,0.21142662581146954,1
SNAP_CollegeMsg,Episode_3_(W11->W12->W14),Historical_Retrieval,0.7647058823529411,,0.0,0.050000000000000044,1
