seed,checkpoint,probe_accuracy,probe_macro_f1
42,t1_End_of_Regime_A,0.33999999999999997,0.3255955206147293
42,t2_Short_B_Distractor,0.30333333333333334,0.2925288125581823
42,t3_End_of_Long_B_Distractor,0.31666666666666665,0.3078755798259421
42,t4_After_10_Steps_Recurrent_A,0.33333333333333337,0.3212069581674295
43,t1_End_of_Regime_A,0.6133333333333333,0.5440336116609408
43,t2_Short_B_Distractor,0.5633333333333334,0.5051177803948892
43,t3_End_of_Long_B_Distractor,0.55,0.4834314371606639
43,t4_After_10_Steps_Recurrent_A,0.5866666666666667,0.5237644577644578
44,t1_End_of_Regime_A,0.38999999999999996,0.3770748183695575
44,t2_Short_B_Distractor,0.3733333333333333,0.3649386268900612
44,t3_End_of_Long_B_Distractor,0.37666666666666665,0.36825766273444815
44,t4_After_10_Steps_Recurrent_A,0.4333333333333334,0.4242260607710075
45,t1_End_of_Regime_A,0.55,0.47717356700183267
45,t2_Short_B_Distractor,0.4866666666666667,0.4131886512264552
45,t3_End_of_Long_B_Distractor,0.4833333333333334,0.4071117795673391
45,t4_After_10_Steps_Recurrent_A,0.53,0.44967704684524196
46,t1_End_of_Regime_A,0.5199999999999999,0.4512828217353947
46,t2_Short_B_Distractor,0.49333333333333335,0.43211756842191623
46,t3_End_of_Long_B_Distractor,0.49000000000000005,0.42682129810816977
46,t4_After_10_Steps_Recurrent_A,0.51,0.4428602510832599
47,t1_End_of_Regime_A,0.9666666666666666,0.9667190490297036
47,t2_Short_B_Distractor,0.9566666666666667,0.9568903183537328
47,t3_End_of_Long_B_Distractor,0.9533333333333334,0.9534527218609374
47,t4_After_10_Steps_Recurrent_A,0.9766666666666666,0.976739628934751
48,t1_End_of_Regime_A,0.4966666666666667,0.43228592028237545
48,t2_Short_B_Distractor,0.45,0.3943977681997111
48,t3_End_of_Long_B_Distractor,0.4366666666666667,0.3798108599100089
48,t4_After_10_Steps_Recurrent_A,0.5033333333333333,0.43199587563364955
49,t1_End_of_Regime_A,0.2966666666666667,0.28618312051424644
49,t2_Short_B_Distractor,0.33666666666666667,0.33524960549162014
49,t3_End_of_Long_B_Distractor,0.32333333333333336,0.31724601352842663
49,t4_After_10_Steps_Recurrent_A,0.32,0.31430151911045295
50,t1_End_of_Regime_A,0.4833333333333334,0.4483432982348562
50,t2_Short_B_Distractor,0.4833333333333333,0.43828349768895797
50,t3_End_of_Long_B_Distractor,0.4833333333333334,0.4420254306658185
50,t4_After_10_Steps_Recurrent_A,0.49333333333333335,0.4643743815468797
51,t1_End_of_Regime_A,0.82,0.7947763615465451
51,t2_Short_B_Distractor,0.8,0.7694288686315567
51,t3_End_of_Long_B_Distractor,0.7866666666666667,0.7483034029832158
51,t4_After_10_Steps_Recurrent_A,0.8033333333333333,0.7732932539384152
