benchmark_setting,method,t_b,mean_ap,std_ap,canonical_role
"Hard Synthetic (TB=25)","Historical Oracle",25,0.7904,0.0006,"Latent structural reference"
"Hard Synthetic (TB=25)","Current-Only",25,0.7636,0.0007,"Immediate structural baseline"
"Hard Synthetic (TB=25)","EdgeBank (Bounded A)",25,0.7423,0.0006,"Exact historical memorization (A only)"
"Hard Synthetic (TB=25)","EdgeBank (All-History)",25,0.7403,0.0006,"Exact historical memorization (all history)"
"Hard Synthetic (TB=25)","Historical Retrieval",25,0.7421,0.0029,"Addressable historical retrieval probe"
"Hard Synthetic (TB=25)","Random Retrieval",25,0.7406,0.0008,"Topological alignment negative control"
"Hard Synthetic (TB=25)","Continuous TGN",25,0.5942,0.0540,"Continuous recurrent state representation"
"Hard Synthetic (TB=25)","TGN-NoMemory",25,0.5842,0.0632,"Temporal attention without memory"
"Hard Synthetic (TB=50)","Historical Oracle",50,0.7904,0.0006,"Latent structural reference"
"Hard Synthetic (TB=50)","Current-Only",50,0.7636,0.0007,"Immediate structural baseline"
"Hard Synthetic (TB=50)","EdgeBank (Bounded A)",50,0.7424,0.0006,"Exact historical memorization (A only)"
"Hard Synthetic (TB=50)","EdgeBank (All-History)",50,0.7399,0.0006,"Exact historical memorization (all history)"
"Hard Synthetic (TB=50)","Historical Retrieval",50,0.7355,0.0045,"Addressable historical retrieval probe"
"Hard Synthetic (TB=50)","Random Retrieval",50,0.7352,0.0009,"Topological alignment negative control"
"Hard Synthetic (TB=50)","Continuous TGN",50,0.5420,0.0355,"Continuous recurrent state representation"
"Hard Synthetic (TB=50)","TGN-NoMemory",50,0.6075,0.0557,"Temporal attention without memory"
"Hard Synthetic (TB=100)","Historical Oracle",100,0.7904,0.0005,"Latent structural reference"
"Hard Synthetic (TB=100)","Current-Only",100,0.7635,0.0006,"Immediate structural baseline"
"Hard Synthetic (TB=100)","EdgeBank (Bounded A)",100,0.7423,0.0004,"Exact historical memorization (A only)"
"Hard Synthetic (TB=100)","EdgeBank (All-History)",100,0.7397,0.0004,"Exact historical memorization (all history)"
"Hard Synthetic (TB=100)","Historical Retrieval",100,0.7273,0.0026,"Addressable historical retrieval probe"
"Hard Synthetic (TB=100)","Random Retrieval",100,0.7313,0.0006,"Topological alignment negative control"
