Metric Name,Manuscript Value,Canonical Value,Status,Location
TGN AP (TB=100),0.5274,0.5274 \pm 0.0339,MATCH,paper/sections/
Current-Only AP (TB=100),0.7635,0.7635 \pm 0.0006,MATCH,paper/sections/
Retrieval AP (TB=100),0.7273,0.7273 \pm 0.0026,MATCH,paper/sections/
Oracle AP (TB=100),0.7904,0.7904 \pm 0.0005,MATCH,paper/sections/
EdgeBank Bounded AP (TB=100),0.7423,0.7423 \pm 0.0004,MATCH,paper/sections/
EdgeBank All-Hist AP (TB=100),0.7397,0.7397 \pm 0.0004,MATCH,paper/sections/
Random Retrieval AP (TB=100),0.7313,0.7313 \pm 0.0006,MATCH,paper/sections/
TGN-NoMemory AP (TB=100),0.5328,0.5328 \pm 0.0297,MATCH,paper/sections/
TGN AP (TB=25),0.5942,0.5942 \pm 0.0540,MATCH,paper/sections/
TGN AP (TB=50),0.5420,0.5420 \pm 0.0355,MATCH,paper/sections/
TGN AP (TB=200),0.5028,0.5028 \pm 0.0013,MATCH,paper/sections/
Capacity Slope (beta1),0.0144,0.0144,MATCH,paper/sections/
Distractor Slope (beta2),-0.00043,-0.00043,MATCH,paper/sections/
Capacity Surface Intercept,0.5337,0.5337,MATCH,paper/sections/
Capacity Surface R2,0.892,0.892,MATCH,paper/sections/
Specificity Current-Only,0.9506,0.9506 \pm 0.0003,MATCH,paper/sections/
Specificity Oracle,0.9556,0.9556 \pm 0.0003,MATCH,paper/sections/
Specificity Retrieval,0.8994,0.8994 \pm 0.0026,MATCH,paper/sections/
Specificity TGN,0.5427,0.5427 \pm 0.0512,MATCH,paper/sections/
Exact Recurrence Jaccard,0.2312,0.2312 \pm 0.0021,MATCH,paper/sections/
Exact Recurrence EdgeBank,0.8841,0.8841 \pm 0.0007,MATCH,paper/sections/
Exact Recurrence Oracle,0.9107,0.9107 \pm 0.0005,MATCH,paper/sections/
Structural Recurrence Jaccard,0.0268,0.0268 \pm 0.0004,MATCH,paper/sections/
Structural Recurrence EdgeBank,0.5847,0.5847 \pm 0.0006,MATCH,paper/sections/
Structural Recurrence Retrieval,0.6204,0.6204 \pm 0.0072,MATCH,paper/sections/
Structural Retrieval vs EdgeBank Gain,+0.0357,+0.0357,MATCH,paper/sections/
Probe Accuracy End A,0.5477,0.5477 \pm 0.2088,MATCH,paper/sections/
Probe Accuracy Short B,0.5247,0.5247 \pm 0.2057,MATCH,paper/sections/
Probe Accuracy End B,0.5200,0.5200 \pm 0.2030,MATCH,paper/sections/
Probe Accuracy Renewed A,0.5490,0.5490 \pm 0.2023,MATCH,paper/sections/
CollegeMsg Episode 1 EdgeBank,0.8564,0.8564,MATCH,paper/sections/
CollegeMsg Episode 2 EdgeBank,0.8662,0.8662,MATCH,paper/sections/
CollegeMsg Episode 3 EdgeBank,0.9261,0.9261,MATCH,paper/sections/
CollegeMsg Mean EdgeBank,0.8763,0.8763,MATCH,paper/sections/
CollegeMsg Mean Current,0.7002,0.7002,MATCH,paper/sections/
CollegeMsg Mean TGN,0.6552,0.6552,MATCH,paper/sections/
CollegeMsg Mean Retrieval,0.7002,0.7002,MATCH,paper/sections/
