t,regime,std_tgn_ap,ma_tgn_ap,delta_ma_vs_std,historical_a1_attn
0,A,0.85,0.8587,0.0087,0.0
1,A,0.8239,0.8206,-0.0033,1.0
2,A,0.8066,0.7917,-0.0149,1.0
3,A,0.8164,0.796,-0.0204,1.0
4,A,0.8019,0.7758,-0.0262,1.0
5,A,0.8407,0.8108,-0.0299,1.0
6,A,0.8216,0.7953,-0.0264,1.0
7,A,0.8439,0.8484,0.0046,1.0
8,A,0.8449,0.8322,-0.0127,1.0
9,A,0.8531,0.8259,-0.0272,1.0
10,A,0.837,0.8107,-0.0263,1.0
11,A,0.8424,0.8035,-0.0389,1.0
12,A,0.8671,0.8449,-0.0222,1.0
13,A,0.8528,0.8137,-0.0391,1.0
14,A,0.833,0.8034,-0.0296,1.0
15,A,0.8742,0.8427,-0.0315,1.0
16,A,0.876,0.8181,-0.0579,1.0
17,A,0.8618,0.8366,-0.0252,1.0
18,A,0.8699,0.8298,-0.0401,1.0
19,A,0.8638,0.8602,-0.0036,1.0
20,A,0.9138,0.9002,-0.0136,1.0
21,A,0.8987,0.8624,-0.0363,1.0
22,A,0.8862,0.8293,-0.057,1.0
23,A,0.8818,0.8887,0.0069,1.0
24,A,0.9019,0.9005,-0.0014,1.0
25,A,0.8861,0.8701,-0.016,1.0
26,A,0.9066,0.8878,-0.0188,1.0
27,A,0.9035,0.8735,-0.0299,1.0
28,A,0.9091,0.9115,0.0024,1.0
29,A,0.9093,0.8953,-0.014,1.0
30,A,0.8828,0.8957,0.0129,1.0
31,A,0.9053,0.9216,0.0162,1.0
32,A,0.8858,0.8784,-0.0074,1.0
33,A,0.8691,0.8917,0.0226,1.0
34,A,0.8848,0.867,-0.0178,1.0
35,A,0.885,0.8864,0.0013,1.0
36,A,0.8817,0.8611,-0.0206,1.0
37,A,0.8238,0.7814,-0.0424,1.0
38,A,0.7767,0.7543,-0.0224,1.0
39,A,0.5658,0.5785,0.0127,1.0
40,B,0.4994,0.5115,0.012,1.0
41,B,0.5036,0.5225,0.0189,1.0
42,B,0.4666,0.4776,0.011,1.0
43,B,0.4667,0.4687,0.002,1.0
44,B,0.4993,0.4989,-0.0004,1.0
45,B,0.4392,0.457,0.0178,1.0
46,B,0.5316,0.5179,-0.0137,1.0
47,B,0.5039,0.5208,0.0169,1.0
48,B,0.4935,0.4929,-0.0006,1.0
49,B,0.5386,0.5467,0.0081,1.0
50,B,0.5112,0.5008,-0.0104,1.0
51,B,0.4662,0.4843,0.0181,1.0
52,B,0.4931,0.493,-0.0001,1.0
53,B,0.516,0.5458,0.0298,1.0
54,B,0.4982,0.5246,0.0264,1.0
55,B,0.4855,0.4951,0.0096,1.0
56,B,0.4588,0.4614,0.0026,1.0
57,B,0.4842,0.4867,0.0025,1.0
58,B,0.4925,0.5028,0.0103,1.0
59,B,0.4596,0.4666,0.007,1.0
60,B,0.5346,0.5318,-0.0029,1.0
61,B,0.4744,0.4792,0.0048,1.0
62,B,0.5297,0.4902,-0.0395,1.0
63,B,0.5311,0.5102,-0.0209,1.0
64,B,0.5166,0.5178,0.0013,1.0
65,B,0.4603,0.4732,0.0129,1.0
66,B,0.5222,0.5234,0.0013,1.0
