seed,delta_old,delta_recent,delta_net,t_recover_current,t_recover_recent,t_recover_oracle,oracle_recovery_advantage
42,0.010158645544347951,-0.0019898502198071283,0.01214849576415508,0,0,0,0
43,0.009823276989179126,-0.002396579576931327,0.012219856566110453,0,0,0,0
44,0.0098838584589796,-0.002219981237020774,0.012103839696000374,0,0,0,0
45,0.009838904201318081,-0.002283083194550469,0.01212198739586855,0,0,0,0
46,0.009670338327620579,-0.0018467424824041548,0.011517080810024734,0,0,0,0
47,0.010610876168171142,-0.0025495293973511655,0.013160405565522308,0,0,0,0
48,0.010103119803203931,-0.0020802036030162546,0.012183323406220185,0,0,0,0
49,0.010399617642320384,-0.0021177127020954867,0.012517330344415871,0,0,0,0
50,0.009720048185231641,-0.002124587251003777,0.011844635436235419,0,0,0,0
51,0.009581132550166545,-0.002449306079322951,0.012030438629489496,0,0,0,0
