seed,delta_old_in_C,delta_recent_in_C
42,0.021354961778373725,0.0009479003281650522
43,0.021051249248585497,0.0006272034730890516
44,0.022214114147508048,-0.00011124999338688232
45,0.021654282209435636,-0.000400645708641012
46,0.022352538448730436,0.00033478929494883033
47,0.02122729121180391,-0.0004762044714724634
48,0.019983125260141812,0.00011315924942337427
49,0.02137140891984821,0.00029996558417832997
50,0.02235476903046032,0.00019867490789252651
51,0.021050867634322887,-0.000615336621951094
